name,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05
丁程鑫,238743,331144,220502,684493,3258777,2945537,1093234,585431,868115,446744,308517,678697,2291776,1379764,707662,971514,348708,447873,429579,4512966,738146,401758,558801,412449,849710,602516,1837092,474224,626672,818343,571132,598811,1210984,2075029,708423,480433,1076731,1338156,586131
任敏,9761,12676,248718,14828,355410,223394,80777,51645,17476,39750,1563794,34031,25291,26355,24496,35633,13360,12439,9286,183819,47689,27220,22132,7651,12563,24962,60463,68268,82751,66209,122077,34263,14465,379152,293338,61232,56378,103218,23827
何昶希,100651,50804,132123,21635,417763,63098,38307,124519,152095,37575,36841,23749,1472564,1605951,185727,160922,77520,191035,175222,401881,221439,119141,18387,34607,9825,33564,30964,78072,49112,38039,84732,29340,22680,166695,121920,64487,72107,48046,244105
倪虹洁,50,2927,268390,4283,69572,301396,1331254,75671,26789,65648,44408,3851,24236,16430,7293,6685,2618,200898,17710,8365,18902,10166,5117,4033,33979,47805,134137,156167,61201,33349,6326,7851,4125,18652,15977,27142,6790,11318,14303
刘芮麟,10534,3787,6080,2661,10249,3821,454,435,5792,13783,248,385,29234,3992,24053,589,406,3876,12533,448,255,4849,286,275,1506,15134,5703,22412,713,369,224247,20801,4412,30245,25098,14118,8101,3985,4925
唐一菲,10391,5076,5140,422,13025,650122,348799,46149,14888,2086,16729,5969,14481,3703,12969,14991,4576,634738,55901,305997,277608,129247,49547,23708,45400,92206,440050,873600,115982,49587,45802,12734,19884,12245,10789,6913,6215,15407,14808
大鹏,12592,19469,27871,10107,90227,200003,14362,14488,17753,11734,37250,24733,335656,691823,188951,77468,90194,171971,62283,89705,82524,71791,50801,24639,96287,65245,51004,243872,39232,165970,31310,25802,21427,31911,16916,21338,40134,76294,44617
娄艺潇,48180,6465,12664,4098,52293,26108,48118,24840,15382,341815,74983,22922,16591,18826,49195,61116,11948,46310,37468,205421,412040,57738,66141,37651,19423,82145,50798,19202,472540,66982,48586,28533,8938,22199,61094,128307,86726,77495,34842
孙千,5758,4381,1501,6167,60036,4644,1895,3813,1478,4595,16935,10185,26707,4039,5487,1156,1665,2683,7672,214777,414080,98902,33884,14162,12902,21352,47783,82777,18789,22430,11923,13197,109148,194960,123489,72246,35831,7256,17386
孙阳,11,401,23,42,7742,722,345,122,101,152,592,115,249,683,1629,282,245,70,6361,44390,37360,18730,672,1209,216,12406,67308,43961,15280,14351,13498,7166,2523,432,273,117,153,133,1610
