,episodes,commentid,content
0,第一期上,6717761123983585448,爆米花 : 那么早
1,第一期上,6717761129524261043,爆米花 : 饭局狼人杀的桥边姑娘，我爱你
2,第一期上,6717761209924516109,就喜欢不准时
3,第一期上,6717760908182091540,爆米花 : 第一
4,第一期上,6717760891737581293,何昶希让妈妈看到你的成长
5,第一期上,6717760907372953403,看来我是第一哈哈哈哈
6,第一期上,6717760774941978943,期待赵薇导演
7,第一期上,6717760824192205577, 7点40打卡
8,第一期上,6717760627576120612,第一？
9,第一期上,6717760444212723418, 第一吗
10,第一期上,6717760282334569173, ？？？提前了？
11,第一期上,6717760520293908712,来了
12,第一期上,6717761413239551423,表白赵薇
13,第一期上,6717761427378207371,  喜欢腾讯的不准时
14,第一期上,6717761678622574150,前排
15,第一期上,6717761737699346085,我来了
16,第一期上,6717761766564500124, 提前了？
17,第一期上,6717761727829129207,打卡
18,第一期上,6717762566937047694,来啦！
19,第一期上,6717762657766067537,赵薇赵薇赵薇
20,第一期上,6717762773468771315, 提前了
21,第一期上,6717762814653998196, 来了来了
22,第一期上,6717760116470781726,第一
23,第一期上,6717763429362769556,  来啦来啦
24,第一期上,6717763878874450001, 来啦来啦
25,第一期上,6717763877552535300, 任敏任敏我来了
26,第一期上,6717763919096773616, 就喜欢这么不准时的！！！
27,第一期上,6717763817162946201, 李智楠！
28,第一期上,6717764340952844628,  来了来了
29,第一期上,6717764333825718041, 终于来了
30,第一期上,6717764606997537135, 任敏妹妹冲啊
31,第一期上,6717765354061801325,来看赵薇了
32,第一期上,6717765781704345697, 为赵薇而来
33,第一期上,6717773446907098768,  冲啊
34,第一期上,6717799119868949273,第二季我又来了，我是真爱
35,第一期上,6717802393326089149,时长感人
36,第一期上,6717961219971992537, 终于等到你
37,第一期上,6717970685387843089, 来了老弟
38,第一期上,6717978385731492453, 半集两小时？
39,第一期上,6718451532410852318, 11
40,第一期上,6717761068828472121,爆米花 : 19.44哈哈哈
41,第一期上,6717761041150275611,爆米花 : 激动
42,第一期上,6717760975535581040,?？第一
43,第一期上,6717760922699898006,爆米花 : 第一
44,第一期上,6717760970896376807, 真早
45,第一期上,6717760908183447299, 提前了？
46,第一期上,6717761231400708421, 哇塞
47,第一期上,6717760767187723793,爆米花 : 来啦，，
48,第一期上,6717760395895350164,爆米花 : 太开心了
49,第一期上,6717760182957931128, 时长感人
50,第一期上,6717759803697337609,第一
51,第一期上,6717761710553810550,前排点我
52,第一期上,6717761593612413934, 爱鹅的不准时
53,第一期上,6717762043237615825, 来啦
54,第一期上,6717761967240710770, 为薇皇而来
55,第一期上,6717762122848696165, 凯歌导演我来啦
56,第一期上,6717762125303057290, 来啦
57,第一期上,6717762132886663115,没人？
58,第一期上,6717761996922748555, 我来得好早
59,第一期上,6717762721913753041, 郭晓婷我来了
60,第一期上,6717762703420755904, 来看丁程鑫！
61,第一期上,6717759969313625626,太不准时了
62,第一期上,6717762854632748142, 提前啦
63,第一期上,6717760532481866934, 又是鹅不守时的一天，喜欢
64,第一期上,6717763028496358325, 赵导我来啦
65,第一期上,6717763491551715081, 就喜欢鹅的不准时哈哈哈
66,第一期上,6717763459343696627, 丁程鑫妈妈来了！！！
67,第一期上,6717763878827260844,丁程鑫妈妈来看你了
68,第一期上,6717764943103590504, 丁程鑫！！！！！！
69,第一期上,6717765373547181746, 最期待的节目！
70,第一期上,6717765684710356413, 来了来了
71,第一期上,6717766013146351787,弹幕走起～
72,第一期上,6717766565137720610,  小丁我来啦！！！
73,第一期上,6717781144402849833,驸马加油
74,第一期上,6717788477876014667, [鹅斯卡]鑫鑫加油
75,第一期上,6717791532825999655, 来了
76,第一期上,6717865123538998265, 终于等到你！
77,第一期上,6718009496666875794, 终于开播啦
78,第一期上,6718516195676855326, V脸社长的旁白吗
79,第一期上,6718715142490747872,富贵让我们相遇
80,第一期上,6717761100566786172,19:44 第一
81,第一期上,6717761123660624039,只有我么
82,第一期上,6717761107035096282,来了！！！
83,第一期上,6717761154913076511,爆米花 : 最喜欢不守时更新了
84,第一期上,6717761045218734869,我第一
85,第一期上,6717761025333555209,来了
86,第一期上,6717761192989272319,这时长爱了
87,第一期上,6717760981743157610,腾讯每次都不守时
88,第一期上,6717761232947050814,来支持王楚然！
89,第一期上,6717760980837145839,时间好长，还分上下集
90,第一期上,6717760902105865330,第一？
91,第一期上,6717760625649941848, 来看赵薇
92,第一期上,6717759851579551724,爆米花 : 第一
93,第一期上,6717761771635459813,第一！
94,第一期上,6717761962983756795,来啦来啦k c
95,第一期上,6717762387489000814, 来了来了
96,第一期上,6717762414722916768,第一第一
97,第一期上,6717762699868445010,爆米花 : 来啦
98,第一期上,6717763221161754952,来了来了
99,第一期上,6717763565467665888, 来了来了，鹅爹厉害👍🏻
100,第一期上,6717763759437753191,来看赵薇导演
101,第一期上,6717763736565200358,来啦来啦
102,第一期上,6717764431527477137,来啦
103,第一期上,6717764503163311686, 1
104,第一期上,6717765066080584014, 演员请就位第二季！！！
105,第一期上,6717765112116575376,laile
106,第一期上,6717765551692214505,第一
107,第一期上,6717767453721993560,赵薇
108,第一期上,6717769856952316388, 来了
109,第一期上,6717773525730997026, 陈宥维
110,第一期上,6717782039158263810, 爆米花是时代少年团粉丝不是粉丝可以改的哦
111,第一期上,6717782692802842067, 来了来了第一季的观众来了
112,第一期上,6717804954608189601,你的
113,第一期上,6717811384006463253,哦嚯
114,第一期上,6717820609285825815, 来了
115,第一期上,6717946258511824306,蓝精灵
116,第一期上,6717943580058959942,打卡
117,第一期上,6717880207131816544,这
118,第一期上,6718389173611935387, 正片我来啦
119,第一期上,6718419030257464741, 来
120,第一期上,6717761143597148315,19.40我第一
121,第一期上,6717761091314151535,爆米花 : 第一！！！
122,第一期上,6717761174781763153,爆米花 : 第一
123,第一期上,6717761009308081436,就喜欢鹅的不准时
124,第一期上,6717760928273859500, 第一？
125,第一期上,6717760816012603780,何昶希，妈妈来啦，要加油哦
126,第一期上,6717761243190592962, 第一第一！！提前了啊啊啊！！
127,第一期上,6717760847877750933,爆米花 : 第一第一
128,第一期上,6717760315758942305,我来了王楚然‘
129,第一期上,6717759739582233193,  来了来了
130,第一期上,6717760656613298005,观影团 : 时长爱了
131,第一期上,6717761683465975703,就喜欢腾讯的不准时，来了来了
132,第一期上,6717761699781818305, 终于来了
133,第一期上,6717762047170868961, 来了，提前这么长时间
134,第一期上,6717762380676742252,王楚然的粉丝前来报道
135,第一期上,6717762558045485694, 第一季的忠实粉丝
136,第一期上,6717760160431317515,更新的好早啊
137,第一期上,6717762933771218985, 不准时！爱了
138,第一期上,6717763248542171514, 打卡打卡留名木口
139,第一期上,6717763298164982227,  丁哥我来了
140,第一期上,6717764042435833202, 丁程鑫
141,第一期上,6717764382434511270, 你提前了兄弟
142,第一期上,6717764460712806957, 挺喜欢1的，导演也喜欢。又可以看啦
143,第一期上,6717764514226565166, 来看赵薇导演
144,第一期上,6717765001643806281,给何昶希打call
145,第一期上,6717765066449986764,来喽
146,第一期上,6717765431667652440,来啊
147,第一期上,6717767582164176462,丁程鑫，姐姐来了！
148,第一期上,6717776191690313814, 终于可以看了
149,第一期上,6717780746779995588,时长感人
150,第一期上,6717783573560536838, 绝
151,第一期上,6717783995893092351,。
152,第一期上,6717811435330793729, 打卡
153,第一期上,6717953426921604442,有
154,第一期上,6717970241205860880, 啊
155,第一期上,6717868160545488708, 还行
156,第一期上,6717997916306787876, :-(
157,第一期上,6718370144416418150,我是来看拉丝的
158,第一期上,6718471578742886987,👿👿👿
159,第一期上,6718508196216426467, 签到
160,第一期上,6717761110280435812,爆米花 : 哈哈
161,第一期上,6717761069147254852, 11111111111
162,第一期上,6717761193165433088,还有谁
163,第一期上,6717761007696148412,第一不错
164,第一期上,6717761251516590439,就喜欢不守时
165,第一期上,6717760923261976853, 第一第一第一耶耶耶
166,第一期上,6717760366274182028,楚然么么哒
167,第一期上,6717760792890425396, 我竟然是第一个
168,第一期上,6717760341104857014,爆米花 : 哎哟不错哦！
169,第一期上,6717761369665904567,爆米花 : 我是第一个进来的
170,第一期上,6717759844670520081,作为一名艺术生，为所有有梦的你们加油
171,第一期上,6717760609200874753,来看陈宥维了
172,第一期上,6717761462028404543,来看赵薇
173,第一期上,6717761485659113321, 终于等到了
174,第一期上,6717761606182749643,观影团 : 这个鹅不守时
175,第一期上,6717761899326851014, 来啦来啦好早呀还在等八点呢
176,第一期上,6717761877649683910,2020.10.2  19:45北京打卡
177,第一期上,6717762368156397892, 宝贝鑫鑫
178,第一期上,6717762623065586417, 这么快？
179,第一期上,6717762739252690950,  好早啊！
180,第一期上,6717762702376638810, 就喜欢鹅的不准时哈哈哈
181,第一期上,6717762896690354894,来了来了！
182,第一期上,6717760489314779312, 妥妥的第一
183,第一期上,6717762936627540016, 16.51打卡
184,第一期上,6717763385406194851, 我就喜欢不准时的
185,第一期上,6717763577177110895,  喜欢腾讯的不准时
186,第一期上,6717763773520870119,来寻找快乐了
187,第一期上,6717763899489764881, 来了来了，来报道了
188,第一期上,6717764038375707371, 费启鸣费启鸣费启鸣费启鸣
189,第一期上,6717764284623295629, 丁程鑫啊啊
190,第一期上,6717764496849910617, 小丁加油啊[敲黑板]
191,第一期上,6717764536184093615, 期待赵薇导演ヾ(@^▽^@)ノ
192,第一期上,6717765122804655419, 期待演员丁程鑫。
193,第一期上,6717782642240507163, 第一第一
194,第一期上,6717783592707541496, 丁程鑫
195,第一期上,6718128517571350408, 我来了
196,第一期上,6718419308449564843, 任敏任敏我来了
197,第一期上,6718419847350821054,  几点结束
198,第一期上,6718471197400695983,个人非常喜欢第一季，希望这季能有一些演员脱颖而出
199,第一期上,6717761197329021171,爆米花 : 7.44
200,第一期上,6717760968484956002, 第一
201,第一期上,6717760323270676362,7点40来的留名
202,第一期上,6717760274575117553,爆米花 : 来了 第一
203,第一期上,6717760296406459122, 19:40报道
204,第一期上,6717760547308731595, 这么快
205,第一期上,6717760588912033047,我第一？
206,第一期上,6717761549399242408,爆米花 : 来了来了回来
207,第一期上,6717761565506078685, 这就开始啦
208,第一期上,6717761559344950177,7点45打卡
209,第一期上,6717761624105010665, 17：39我第一于
210,第一期上,6717761766450296077,爆米花 : 承包弹幕
211,第一期上,6717805453800649662,终于等到第二季了
212,第一期上,6717958043427438545,更新必看系列
213,第一期上,6717761216615793407, 来了来了
214,第一期上,6717760981544662928,赶来了！！！
215,第一期上,6717761186819451126, 19.40分就出了，就喜欢腾讯的不准时，第一
216,第一期上,6717760369189916651, 这也太不准时了
217,第一期上,6717760559887449316,弹幕何在
218,第一期上,6717761431153423835,来啦
219,第一期上,6717761565178922971,观影团 : 来了来了
220,第一期上,6717761751158861034, 让我来看看
