ids,times,stars,previews,likes
横道世之介,2020-10-02 23:57:36,20,看这个节目最大的舒适感，就是屏蔽完赵薇郭敬明呱噪的业务指指点点，还能继续有幸听凯歌导演儒雅的，不急不缓的讲戏，在专业角度上的输出，他真是伟岸的。,515,
海边的西米,2020-10-03 02:37:43,40,想看尔冬升骂遍所有想露脸十八线男团idol,2623,
kakakarl,2020-10-02 23:09:01,30,太奇怪了，算上郭敬明，四个评委导演也都是拍电影的，而制片人评级都是用电视剧的标准在看演员，太割裂了。尔冬升才是这季最大惊喜。充什么样的会员，才可以看去郭敬明版？,895,
一口大井子,2020-10-12 01:06:51,20,陈凯歌最像学院老师，四个人里最会调教演员的。尔冬升是艺考的考官，严厉但准确。赵薇像辅导员，当年也是考过来的。郭敬明就是鬼艺考培训机构的老师，满嘴理论知识，但也就够糊弄一下高中生了。,341,
DING,2020-10-03 12:12:00,40,太喜欢温峥嵘那种坐在B级却浑身上下散发出S级光芒的状态，好演员值得被看见。,1287,
紫色鱼丸,2020-10-02 22:09:01,40,尔冬升太狠了！好犀利！但这节目最开始被评S的几个人是真的不行。为了孙阳再加一星吧喜欢他的《过春天》。张大大太辣眼睛了怎么哪里都有他？？烦死了🍃——郭敬明仿佛是来选妃的口区,1141,
Cycble,2020-10-03 08:11:46,40,①第一期就出现名场面“晏紫东彩旗拔丝接吻”“尔冬升批张大大像小偷”，牛逼。②其实出圈的演员不是太多，所以牛鬼蛇神拉出来溜溜就知道谁几斤几两了。③演技好未必得到市场的认可，有流量也不代表有光明的未来，被粉丝绑架乃至不敢和合作女生拥抱的某男偶像，说你呢。④同样是毒舌，李成儒比隔壁音乐节目的神棍丁太升好多了，至少他会结合实例告诉你什么是好的表演什么是不好的，而不是找噱头搏出位。⑤小四郭敬明疑惑常出演抗战剧男一的杨志刚得S，赵薇神补刀你可能不看，就是大型平行世界现场。⑥期待让人眼前一亮的黑马出现。,353,
尼歌臭豆腐,2020-10-03 01:09:40,20,郭敬明在影视方面有作品吗？凭啥做评委？还有赵薇说话可以不要这么拧巴吗？请你大方点自然点好吗？,113,
why-songjk,2020-10-03 09:13:25,20,这个开场评级是一场大型女性就业歧视会吧……突然发现不是观众不喜欢年纪大的女演员，完全就是制片人清一水的瞎子,83,
莫卡纳达兰克特,2020-10-10 23:58:05,20,请问，郭敬明是来节目找对象的吗？以及中国没有能拿得出手的演员了吗？牛鬼蛇神不加思考靠着流量和热度就都能自称演员了吗？,71,
